uri,reg:hasSubClass,reg:hasSubproperty,reg:hasUnconstrained,reg:name@en,reg:status,rdf:type[0],rdfs:domain,rdfs:isDefinedBy,rdfs:label@en[0],rdfs:label@es[0],rdfs:label@es[1],rdfs:label@es[2],rdfs:range,rdfs:subClassOf,rdfs:subPropertyOf,owl:inverseOf,skos:definition@en[0],skos:definition@es[0],skos:scopeNote@en[0],skos:scopeNote@en[1],skos:scopeNote@es[0]
isbd:elements/P1024,,,isbd:unc/elements/P1024,hasDimensions,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has dimensions,tiene dimensiones,,,,,,,Relates a resource to a note on its dimensions in centimetres (or millimetres if the gauge of a film or width of a tape) rounded up to the nearest whole.,Relaciona un recurso con una nota sobre sus dimensiones en centímetros (o milímetros si se trata de la anchura de una película o cinta) redondeando al número entero más cercano.,"Includes one or more dimensions. Includes the height of the resource, measured parallel to the spine, for printed textual and notated music resources. Includes the height by width of two-dimensional cartographic resources. Includes the height by width by depth of three-dimensional cartographic resources, excluding globes and sections of spheres. Includes the diameter for cartographic resources that are globes, sections of spheres, and two-dimensional circular forms. Includes additional dimensions such as the dimensions of a map when folded, or the dimensions of individual sheets of a collectively described group, or the individual dimensions of mounted sheets, of cartographic resources. Includes the height by width of two-dimensional multimedia resources, sound recordings, videorecordings, and still and moving images (wallcharts, microfiches, slides, transparencies, pictures, etc.). Includes the diameter, followed in parentheses by the abbreviation ""diam."" or its equivalent in another language, for circular forms of multimedia resources, sound recordings, videorecordings, and still and moving images. Includes the length of the vertical axis, followed in parentheses by ""oval"" or its equivalent, for oval forms of multimedia resources, sound recordings, videorecordings, and still and moving images. Includes two dimensions statements for the open and folded states of folded sheets of multimedia resources, sound recordings, videorecordings, and still and moving images. Includes height by width by depth (or height alone when appropriate) of three-dimensional multimedia resources, sound recordings, videorecordings, and still and moving images (dioramas, etc.). Includes the gauge of the film or width of the tape for multimedia resources, sound recordings, videorecordings, and still and moving images employing film or magnetic tape. Includes the dimensions of the physical carrier itself, irrespective of the external dimensions of any container, of electronic resources. Includes the diameter of a disc or a tape reel for an electronic resource. Includes the length and width of the tape of a reel of an electronic resource. Includes the height of the face of a chip cartridge of an electronic resource. Includes other dimensions given after the height when the dimensions or shape of the resource are unusual (e.g. when the width is greater than the height) for printed textual and notated music  resources. Includes the diameter of the playing surface when a sound disc is of a non-standard shape (e.g. when the playing surface has an irregularly shaped surround). Includes the height by depth of a tape cassette when it is other than the standard size (10 x 7 cm) and the width of tape is given when it is other than the standard width (4 mm). Includes the dimensions of a container for resources issued in a container, with or without accompanying material. Excludes the external dimensions of of any container such as an album or sleeve for multimedia resources, sound recordings, videorecordings, and still and moving images requiring the use of equipment (e.g. discs, cassettes, reels of tape or motion pictures). Excludes dimensions implicit in other parts of the description (e.g. cassettes and cartridges of a standard type) of multimedia resources, sound recordings, videorecordings, and still and moving images. Includes dimensions for older monographic resources which qualify the standard designation of bibliographic format as chosen by the cataloguing agency.",,"Incluye una o más dimensiones. Incluye la longitud del recurso, medida paralelelamente al lomo, para recursos textuales impresos y música notada. Incluye la longitud por la anchura en recursos cartográficos bidimensionales. Incluye la longitud por la anchura por la profundidad en recursos cartográficos tridimensionales, excluyendo los globos terráqueos y secciones de esferas. Incluye el diámetro para recursos cartográficos que son globos, secciones de esferas y recursos circulares en dos dimensiones. Incluye dimensiones adicionales de recursos cartográficos como las dimensiones de un mapa plegado, o las dimensiones de hojas individuales de un grupo descrito colectivamente, o de dimensiones individuales de hojas montadas. Incluye la altura por la anchura de recursos multimedia bidimensionales, grabaciones sonoras, videograbaciones e imágenes fijas y en movimiento (murales, microfichas, diapositivas, transparencias, imágenes, etc). Incluye el diámetro, seguido entre paréntesis de la abreviatura “diam.” o su equivalente en otra lengua, para las formas circulares de recursos multimedia, grabaciones sonoras, videograbaciones, e imágenes fijas y en movimiento. Incluye la longitud del eje vertical, seguido entre paréntesis por “oval” o su equivalente, para formas ovales de recursos multimedia, grabaciones sonoras, videograbaciones e imágenes fijas y en movimiento. Incluye mención de dos dimensiones para el estado plegado o abierto de hojas plegadas de recursos multimedia, grabaciones sonoras, videograbaciones, e imágenes fijas y en movimiento. Incluye la altura por anchura por profundidad (o solamente la longitud cuando sea apropiado) de recursos multimedia tridimensionales, grabaciones sonoras, videograbaciones, e imágenes fijas y en movimiento (dioramas, etc.) Incluye la anchura de la película o cinta para recursos multimedia, grabaciones sonoras, videograbaciones e imágenes fijas y en movimiento empleados en películas o cintas magnéticas. Incluye las dimensiones de cualquier soporte físico en sí mismo de recursos electrónicos independientemente de las dimensiones externas de su envase. Incluye la longitud y anchura de la cinta de un rollo de un recurso electrónico. Incluye la altura frontal de un cartucho de un recurso electrónico. Incluye otras dimensiones dadas tras la altura cuando las dimensiones o formas de un recurso son inusuales (p. ej. cuando la anchura es mayor que la longitud) para recursos textuales impresos y música notada. Incluye el diámetro de la superficie, cuando un disco sonoro no es de forma estándar (es decir, cuando la superficie grabada tiene un contorno irregular). Incluye la longitud por la profundidad de un casete cuando es otro tamaño que el estándar (10 x 7 cm) y la anchura de la cinta se da cuando es distinta de la anchura estándar (4 mm.). Incluye las dimensiones de un envase para recursos publicados en un envase, con o sin material anejo. Se excluye las dimensiones externas de cualquier envase como un álbum o funda para recursos multimedia, grabaciones sonoras, videograbaciones e imágenes fijas y en movimiento que requieren el uso en un equipo (discos, casetes, rollos de cinta o carretes de película). Se excluye las dimensiones implícitas en otras partes de la descripción (p. ej, casetes y cartuchos de tipo estándar) de recursos multimedia, grabaciones sonoras, videograbaciones e imágenes fijas y en movimiento. Incluye dimensiones para recursos monográficos antiguos que califican la designación estándar de formato bibliográfico elegido por la agencia de catalogación."
isbd:elements/P1160,,,isbd:unc/elements/P1160,hasEditionArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has edition area,tiene área de edición,,,isbd:elements/C2005,,,,"Relates a resource to a statement including the edition statement, parallel edition statements, statements of responsibility relating to the edition, additional edition statements, and statements of responsibility following an additional edition statement.","Relaciona un recurso con una mención que incluye la mención de edición, menciones de edición paralela, menciones de responsabilidad relativas a la edición, menciones de edición adicional y menciones de responsabilidad relativas a la mención de edición adicional.",,,
isbd:elements/P1008,,,isbd:unc/elements/P1008,hasEditionStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has edition statement,tiene mención de edición,,,,,,,"Relates a resource to a word or phrase, or a group of characters, indicating that the resource belongs to an edition.","Relaciona un recurso con un término, frase o grupo de caracteres que indican que el recurso pertenece a una edición.","An edition statement normally includes either the word ""edition"" (or its equivalent in another language) or a related term together with a number (""2nd edition"", etc.), or a term indicating difference from other editions (""new edition"", ""revised edition"",""“standard edition"", ""large print edition"", ""fourth state"", ""May 1970 script"", etc.). A statement that includes the word ""edition"" or its equivalent is not considered an edition statement when it represents printing information, as is typical in the publication patterns of certain countries. An edition statement can also include other phrases that may be linguistically associated, linking the edition to other elements of the description (e.g. original title in a form such as ""abridgement of ..."").",,"Una mención de edición normalmente incluye o bien la palabra “edición” (o su equivalente en otra lengua) o un término similar, junto con un número ordinal (“2ª edición”, etc.) o un término que indique la diferencia respecto a otras ediciones (“nueva edición”, “edición revisada”, “edición estándar”, “edición de grandes caracteres”, cuarto estado”, “guión de mayo de 1970”, etc.). Una mención de edición puede incluir igualmente otras frases que pueden estar unidas lingüísticamente, vinculando la edición a otros elementos de la descripción (ej. título original con
una forma como “resumen de….”)."
isbd:elements/P1134,,,isbd:unc/elements/P1134,hasEqualization,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has equalization,tiene ecualización,,,,,,,Relates a resource to the equalization it employs.,Relaciona un recurso con la ecualización que emplea.,,,
isbd:elements/P1052,,,isbd:unc/elements/P1052,hasEquinox,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has equinox,tiene equinoccio,,,,,,,"Relates a resource that is cartographic to its equinox (one of two points of intersection of the ecliptic and the celestial equator, occupied by the sun when its declination is 0 degrees).","Relaciona un recurso cartográfico con su equinoccio (uno de los dos puntos de la interesección de la eclíptica y el Ecuador celeste, ocupado por el sol cuando su declinación es de 0 grados).",,,
isbd:elements/P1190,,,isbd:unc/elements/P1190,hasExpressionAspect,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has expression aspect,,,,frbrer:C1002,,,isbd:elements/P1194,Relates a bibliographic resource to an expression reflected in it.,,,,
isbd:elements/P1194,,,isbd:unc/elements/P1194,isExpressionReflectedIn,RegStatus:1001,rdf:Property,frbrer:C1002,isbd:elements/,is expression reflected in,,,,isbd:elements/C2001,,,isbd:elements/P1190,Relates an expression to a bibliographic resource that reflects it.,,,,
isbd:elements/P1053,,,isbd:unc/elements/P1053,hasExtent,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has extent,tiene extensión,,,,,,,Relates a resource to the names and numbers of the physical unit or units constituting the resource.,Relaciona un recurso con los nombres y números de la unidad o unidades físicas que constituyen el recurso.,,,
isbd:elements/P1075,,,isbd:unc/elements/P1075,hasFingerprint,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has fingerprint,tiene identificador tipográfico,,,,,isbd:elements/P1032,,"Relates a resource that is an older monographic resource to a number of characters drawn from a number of uniform places in the text of the resource, considered as a substitute for a standard number.","Relaciona un recurso monográfico antiguo con un número de caracteres procedentes de un número regulado de lugares en el texto de un recurso, considerado como un sustituto de un número normalizado.","A definitive formula for fingerprint has yet to be determined by international agreement. Until such an agreement is made, various forms of fingerprint can be used.",,"Todavía tiene que determinarse por acuerdo internacional una fórmula definitiva para el identificador tipográfico. Hasta que se lleve a cabo ese acuerdo, se pueden utilizar las diferentes formas de identificadores tipográficos."
isbd:elements/P1032,,isbd:elements/P1075,isbd:unc/elements/P1032,hasResourceIdentifier,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has resource identifier,tiene identificador del recurso,,,,,,,Relates a resource to an identifier.,,"Includes any number or alphanumeric designation associated with and identifying a resource according to an international standard, such as an International Standard Book Number or an International Standard Serial Number, or a designation assigned by a publisher. Includes notes considered important to users of the catalogue.",,"Incluye cualquier número o designación alfanumérica asociada que identifica un recurso de acuerdo a una norma internacional, como el International Standard Book Number o el International Standard Serial Number, o una denominación asignada por un editor. Incluye notas consideradas importantes para los usuarios del catálogo."
isbd:elements/P1063,,,isbd:unc/elements/P1063,hasFrameAlignment,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has frame alignment,tiene alineación de los fotogramas,,,,,,,"Relates a resource that is a microfilm reel, microfilm slip, or filmstrip to a statement of its frame alignment.","Relaciona un recurso que es un carrete de microfilme, tira de microfilme, o tira de película  con una mención de su alineación de fotogramas.",,,
isbd:elements/P1129,,,isbd:unc/elements/P1129,hasGrooveDirection,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has groove direction,tiene dirección del surco,,,,,,,Relates a resource that is an analogue sound disc to its groove direction.,Relaciona un recurso que es un disco sonoro analógico con la dirección del surco.,,,
isbd:elements/P1130,,,isbd:unc/elements/P1130,hasGrooveSize,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has groove size,tiene tamaño del surco,,,,,,,Relates a resource that is an analogue sound disc to its groove size.,Relaciona un recurso que es un disco sonoro analógico con el tamaño del surco.,,,
isbd:elements/P1030,,,isbd:unc/elements/P1030,hasInternationalStandardNumberOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has international standard number of series or multipart monographic resource,tiene número normalizado internacional de serie o recurso monográfico multiparte,,,,,,,Relates a resource that is a series or multipart monographic resource to an international standard number relating to it.,Relaciona un recurso que es una serie o recurso monográfico multiparte con un número normalizado internacional relacionado con él.,,,
isbd:elements/P1191,,,isbd:unc/elements/P1191,hasItemAspect,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has item aspect,,,,frbrer:C1004,,,isbd:elements/P1195,Relates a bibliographic resource to an item reflected in it.,,,,
isbd:elements/P1195,,,isbd:unc/elements/P1195,isItemReflectedIn,RegStatus:1001,rdf:Property,frbrer:C1004,isbd:elements/,is item reflected in,,,,isbd:elements/C2001,,,isbd:elements/P1191,Relates an item to a bibliographic resource that reflects it.,,,,
isbd:elements/P1033,,,isbd:unc/elements/P1033,hasKeyTitle,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has key title,tiene título clave,,,,,,,Relates a resource that is a continuing resource to the unique name assigned to it by the ISSN Network.,Relaciona un recurso continuado con un nombre único que le ha asignado la Red ISSN.,The key title is given even when it is identical to the title proper of the continuing resource. It is not given if the ISSN to which it applies is not given.,,El título clave se da incluso si es idéntico al título propiamente dicho del recurso continuado. No se da si el ISSN al que se aplica no aparece.
isbd:elements/P1076,,,isbd:unc/elements/P1076,hasLabelNameAndCatalogueNumber,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has label name and catalogue number,tiene nombre comercial y número de catálogo,,,,,isbd:elements/P1032,,Relates a resource that is commercially issued to the label name and all catalogue numbers supplied by the issuing company.,Relaciona un recurso que se publica comercialmente con el nombre de la etiqueta y con todos los números de catálogo suministrados por la compañía editora.,,,
isbd:elements/P1192,,,isbd:unc/elements/P1192,hasManifestationAspect,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has manifestation aspect,,,,frbrer:C1003,,,isbd:elements/P1196,Relates a bibliographic resource to a manifestation reflected in it.,,,,
isbd:elements/P1196,,,isbd:unc/elements/P1196,isManifestationReflectedIn,RegStatus:1001,rdf:Property,frbrer:C1003,isbd:elements/,is manifestation reflected in,,,,isbd:elements/C2001,,,isbd:elements/P1192,Relates a manifestation to a bibliographic resource that reflects it.,,,,
isbd:elements/P1163,,,isbd:unc/elements/P1163,hasMaterialDescriptionArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has material description area,tiene área de descripción del material,,,isbd:elements/C2008,,,,"Relates a resource to a statement including the specific material designation and extent, other physical details, the dimensions, and the accompanying material statement.","Relaciona un recurso con una mención que incluye la designación específica del material y la extensión, otros detalles físicos, dimensiones y la mención de material anejo.",Restricted to the resource as issued by the publisher.,,Restringido al recurso tal y como lo publica el editor.
isbd:elements/P1161,,,isbd:unc/elements/P1161,hasMaterialOrTypeOfResourceSpecificArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has material or type of resource specific area,tiene área específica de material o tipo de recurso,,,isbd:elements/C2005,,,,Relates a resource to a statement including data that are unique to a particular class of material or type of resource.,Relaciona un recurso con una mención que incluye datos que son exclusivos de una clase particular de material o tipo de recurso.,,,
isbd:elements/P1013,,,isbd:unc/elements/P1013,hasMathematicalDataArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has mathematical data area,tiene área de datos matemáticos,,,isbd:elements/C2012,,,,"Relates a resource that is cartographic to a statement including the statement of scale, statement of projection, and the statement of coordinates and equinox.","Relaciona un recurso cartográfico a una mención que incluye la mención de escala, mención de proyección y mención de coordenadas y equinoccio.",,,
isbd:elements/P1003,,,isbd:unc/elements/P1003,hasMediaType,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has media type,tiene tipo de medio,,,,,,,Relates a resource to a category that records the type or types of carrier used to convey the content.,Relaciona un recurso con una categoría que refleja el tipo o tipos de soportes utilizados para transmitir el contenido.,"Categories generally reflect the format of the storage medium and housing of a carrier in combination with the type of intermediation device required to render, view, run, etc., the content of a resource.",,"Las categorías reflejan, en general, el formato del medio de almacenamiento y alojamiento de un soporte en combinación con el tipo de dispositivo de intermediación necesario para representar, ver, poner en funcionamiento, etc., el contenido de un recurso."
isbd:elements/P1014,,,isbd:unc/elements/P1014,hasMusicFormatStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has music format statement,tiene mención de formato musical,,,,,,,Relates a resource that is notated music to a term or phrase representing the physical form in which it is presented.,Relaciona un recurso de música notada con un término o frase que representa la forma física en la cual se presenta.,"Includes score, parts. Also known as musical presentation format.",,"Incluye partitura, partes. También se le conoce como formato de presentación musical."
isbd:elements/P1166,,,isbd:unc/elements/P1166,hasMusicFormatStatementArea,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has music format statement area,tiene área de mención de formato musical,,,isbd:elements/C2013,,,,Relates a resource that is notated music to a statement including the music format statement and parallel music format statements.,Relaciona un recurso que es música notada con una mención que incluye la mención de formato musical y las menciones de formato musical paralelas.,,,
isbd:elements/P1020,,,isbd:unc/elements/P1020,hasNameOfPrinterOrManufacturer,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has name of printer or manufacturer,tiene nombre de impresor o fabricante,,,,,,,Relates a resource to the name of the person or corporate body appearing on the resource that effects the printing or manufacturing of the resource.,Relaciona un recurso con el nombre de la persona o entidad corporativa que aparece en el recurso que efectúa la impresión o fabricación del recurso.,,,
isbd:elements/P1017,,,isbd:unc/elements/P1017,hasNameOfPublisherProducerDistributor,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,"has name of publisher, producer, distributor","tiene nombre de editor, productor, distribuidor",,,,,,,"Relates a resource to the name of the person or corporate body appearing on the resource that effects respectively the publication, production and/or distribution or release activities for the resource.","Relaciona un recurso con el nombre de la persona o entidad corporativa que aparece en el recurso que lleva a cabo, respectivamente, la publicación, producción y/o distribución o las actividades de difusión del recurso.",,,
isbd:elements/P1169,,,isbd:unc/elements/P1169,hasNameOfPublisherProducerDistributorStatement,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,"has name of publisher, producer, distributor statement","tiene mención del nombre del editor, productor o distribuidor",,,isbd:elements/C2019,,,,"Relates a resource to a statement including the name of publisher, producer, distributor, and the parallel statement of publisher, producer, distributor.","Relaciona un recurso con una mención que incluye el nombre del editor, productor, distribuidor y la mención de editor, productor, distribuidor paralela.",,,
isbd:elements/P1135,,,isbd:unc/elements/P1135,hasNoiseReduction,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has noise reduction,tiene reducción de ruido,,,,,,,Relates a resource to the noise reduction it employs.,Relaciona un recurso con la reducción de ruido que emplea.,,,
isbd:elements/P1045,,isbd:elements/P1037,isbd:unc/elements/P1045,hasNote,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note,tiene nota,,,,,,,Relates a resource to a note of descriptive information that has not been given in other areas of the description but that is considered to be important to users of bibliographic records.,Relaciona un recurso con una nota de información descriptiva que no se ha dado en otras áreas de descripción pero que se considera importante para los usuarios de registros bibliográficos.,"Notes qualify and amplify the description in the other areas and can deal with any aspect of a resource. Notes may also give the bibliographic history of the resource and indicate relationships to other resources. In making reference to another resource in a note, enough information must be given to identify theresource. This may vary depending on the resource and the context of the note. For continuing resources,
the citation may consist of the key title and ISSN. In other cases, it may consist of the title proper along
with a statement of responsibility or other bibliographic details. Two or more notes may be combined into a single note when considered appropriate by the cataloguing agency.",,"Las notas califican y amplian la descripción de las otras áreas y pueden relacionarse con cualquier aspecto del recurso. Las notas pueden referirse también a la historia bibliográfica del recurso e indicar relaciones con otros recursos. Al hacer referencia a otros recursos en una nota, debe darse suficiente información para identificar el recurso. Esto puede variar dependiendo del recurso y el contexto de la nota. Para recursos continuados, la cita puede consistir en el título clave y el ISSN. En otros casos, puede consistir en el título propiamente dicho junto con una mención de responsabilidad u otros detalles bibliográficos. Se puede combinar dos o más notas en una nota común cuando se considere apropiado por la agencia de catalogación."
isbd:elements/P1037,,,isbd:unc/elements/P1037,hasNoteOnEditionAreaAndBibliographicHistory,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on edition area and bibliographic history,tiene nota sobre el área de edición e historia bibliográfica,,,,,isbd:elements/P1045,,Relates a resource to a note on its edition area and bibliographic history.,Relaciona un recurso con una nota sobre el area de edición e historia bibliográfica.,,,
isbd:elements/P1038,,,isbd:unc/elements/P1038,hasNoteOnMaterialTypeOrResourceSpecificType,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on material type or resource specific type,tiene nota sobre tipo de material o tipo específico de recurso,,,,,isbd:elements/P1045,,Relates a resource to a note on the material or type of resource specific area.,Relaciona un recurso con una nota sobre el área de material o tipo específico de recurso.,,,
isbd:elements/P1039,,,isbd:unc/elements/P1039,hasNoteOnPublicationProductionDistributionEtc,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,"has note on publication, production, distribution, etc.","tiene nota sobre publicación, producción, distribución, etc.",,,,,isbd:elements/P1045,,"Relates a resource to a note on the publication, production, distribution, etc., area.","Relaciona un recurso con una nota sobre el área de publicación, producción, distribución, etc.","Includes details of other publishers, producers, distributors, etc., of the resource; notes on variant publication, production or distribution, etc., information; irregularities; and additional dates.",,"Incluye detalles de otros editores, productores, distribuidores, etc., del recurso; notas sobre variaciones en la publicación, producción, distribución, etc.; irregularidades y fechas adicionales.
"
isbd:elements/P1040,,,isbd:unc/elements/P1040,hasNoteOnMaterialDescription,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on material description,tiene nota sobre descripción del material,,,,,isbd:elements/P1045,,Relates a resource to a note on the material description area.,Relaciona un recurso con una nota sobre el área de descripción del material.,"Includes additional physical description of the resource, and statements on particular physical peculiarities. Notes may also be made on accompanying material or on earlier physical details of an integrating resource.",,Incluye incluir información adicional de la descripción física del recurso y menciones sobre peculiaridades físicas concretas. Las notas deben realizarse sobre el material anejo o sobre detalles físicos anteriores de un recurso integrable.
isbd:elements/P1041,,,isbd:unc/elements/P1041,hasNoteOnSeriesAndMultipartMonographicResources,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on series and multipart monographic resources,tiene nota de serie o recurso monográfico multiparte,,,,,isbd:elements/P1045,,Relates a resource to a note on the series and monographic resources area.,Relaciona un recurso con una nota sobre el área de serie y recurso monográfico.,"Includes notes giving information about a series or multipart monographic resource in which the resource has been issued, and notes on series editors.",,"Incluye notas que dan información sobre la serie o recurso monográfico multiparte en el que el recurso ha sido publicado, y notas sobre los editores de la serie."
isbd:elements/P1042,,,isbd:unc/elements/P1042,hasNoteOnContents,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on contents,tiene nota sobre el contenido,,,,,isbd:elements/P1045,,Relates a resource to a note relating to the contents.,Relaciona un recurso con una nota relativa al contenido.,"Includes the list of contents and notes on otherinclusions, such as indexes, inserts, bibliographies, discographies, etc.",,
isbd:elements/P1044,,,isbd:unc/elements/P1044,hasNoteOnBasisOfDescription,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on basis of description,tiene nota sobre base de descripción,,,,,isbd:elements/P1045,,"Relates a resource that is a series or multipart monograph to a note on the issue, part, iteration, etc., that forms that basis of its description.","Relaciona un recurso que es una serie o recurso monográfico multiparte con una nota sobre el fascículo, parte, iteración, etc., en  que se basa la descripción.","Includes the issue or part that forms the basis of the description if the description of a serial or multipart monographic resource is not based on the first issue or part published. Includes the earliest analytic consulted and its date of publication, production, distribution, etc. if a description is made for an unnumbered monographic series itself. Includes the analytic and its date of publication if other analytics also have been consulted and the latest analytic can be identified. Includes the latest iteration consulted in preparing the description if the description is not based on the first iteration of an integrating resource. Includes the issue or iteration that forms the basis of the description of a remote-access electronic resource, along with the date on which it was viewed.",,"Incluye el fascículo o parte en el que se basa la descripción cuando la descripción de una publicación seriada o recurso monográfico multiparte no está basada en el primer fascículo o parte publicada. Incluye la primera analítica consultada y su fecha de publicación, producción, distribución, etc, si se hace una descripción para una serie monográfica no numerada. Si también se han consultado otras analíticas y se puede identificar la última analítica incluye la analítica y su fecha de publicación. Incluye la última iteración consultada al preparar la descripción si esta descripción no se basa en la primera iteración de un recurso integrable. Incluye el fascículo o iteración que forma la base de la descripción de un recurso electrónico de acceso remoto, con la fecha en la que se consultó."
isbd:elements/P1046,,,isbd:unc/elements/P1046,hasNoteOnCopyInHand,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on copy in hand,tiene nota sobre el ejemplar que se describe,"Incluye notas relativas a las características físicas del ejemplar, notas relativas a ejemplares “encuadernados con”, notas de procedencia y notas de acción.",,,,isbd:elements/P1045,,Relates a resource to a note on the copy being catalogued.,Relaciona un recurso con una nota sobre el ejemplar que se está catalogando.,"Includes notes relating to the physical characteristics of the copy, notes relating to ""bound with"" copies, provenance notes, and action notes.",,
isbd:elements/P1064,,,isbd:unc/elements/P1064,hasNoteOnBibliographicReference,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on bibliographic reference,tiene nota de referencia bibliográfica,,,,,isbd:elements/P1045,,"Relates a resource that is an older monographic resource to a citation, given in a standard and abbreviated form, to a description of the resource in a list describing older monographic resources.","Relaciona un recurso monográfico antiguo con una cita, de forma abreviada y normalizada de la descripción del recurso, en una lista que describe recursos monográficos antiguos.",The note may contain more than one citation.,,La nota debe contener más de una cita.
isbd:elements/P1065,,,isbd:unc/elements/P1065,hasNoteOnFrequency,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on frequency,tiene nota de frecuencia,,,,,isbd:elements/P1045,,Relates a resource that is a serial to a note on the frequency. Relates a resource that is an integrating resource to a note on the frequency of updates.,Relaciona un recurso que es una publicación seriada con una nota de frecuencia. Relaciona un recurso que es un recurso integrable con una nota de frecuencia de actualizaciones.,"Used when the frequency is not stated in the title and statement of responsibility area, or it is necessary to convey some additional information.",,Se utiliza cuando la frecuencia no está establecida en el área de título y mención de responsabilidad o es necesario transmitir alguna información adicional.
isbd:elements/P1066,,,isbd:unc/elements/P1066,hasNoteOnSystemRequirements,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on system requirements,tiene nota de requisitos mínimos del sistema,,,,,isbd:elements/P1045,,Relates a resource that is a direct access electronic resource to a note on system requirements for use of the resource.,Relaciona un recurso electrónico de acceso directo con una nota sobre los requisitos del sistema para el uso del recurso.,"Includes one or more technical specifications, usually given in the following order, and preceded by the phrase  ""System requirements:"" (or its equivalent in another language): name, model and, or, number of machine or machines; amount of memory; name of the operating system or systems; software requirements (including programming language); peripherals; hardware (internal) modifications; character code. Separate system requirements notes may be made to highlight distinctive system features associated with each physical carrier, when the resource consists of two or more different physical carriers (e.g. a multimedia resource consisting of an electronic disk and a videodisc). Alternatively, a single system requirements note for both physical carriers may be made.",,"Incluye una o más especificaciones técnicas, normalmente dadas en el siguiente orden y precedidas de la frase “Requisitos del sistema”: (o su equivalente en otra lengua): marca, modelo y/o número de serie del equipo o equipos; cantidad de memoria, nombre del sistema o sistemas operativos; requisitos de software (incluido el lenguaje de programación); periféricos; modificaciones (internas) de hardware; códigos de caracteres. Si el recurso está formado por dos o más soportes físicos diferentes (ej. un recurso multimedia formado por un disco electrónico y un videodisco), se puede redactar una nota sobre requisitos del sistema para cada uno, en la que se resalten las características distintivas del sistema asociado a cada soporte físico. Como alternativa, se puede hacer una única nota de requisitos del sistema para ambos soportes físicos."
isbd:elements/P1067,,,isbd:unc/elements/P1067,hasNoteOnModeOfAccess,RegStatus:1001,rdf:Property,isbd:elements/C2001,isbd:elements/,has note on mode of access,tiene nota sobre modo de acceso,,,,,isbd:elements/P1045,,"Relates a resource that is a remote access electronic resource to a note on the mode of access, preceded by the phrase ""Mode of access:"" (or its equivalent in another language).","Relaciona un recurso electrónico remotocon una nota sobre el modo de acceso, precedido de la frase “Modo de acceso:” (o su equivalente en otra lengua).",,,
