uri,reg:hasSubproperty,reg:lexicalAlias,reg:name@en,reg:status,rdf:type[0],rdfs:isDefinedBy,rdfs:label@en[0],rdfs:subPropertyOf,owl:inverseOf,skos:definition@en[0],skos:scopeNote@en[0]
isbd:unc/elements/P1095,,isbd:unc/elements/hasNoteOnBibliographicHistory.en,hasNoteOnBibliographicHistory,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on bibliographic history,isbd:unc/elements/P1045,,Relates a resource to a note relating to the edition being described or the bibliographic history of the work.,
isbd:unc/elements/P1096,,isbd:unc/elements/hasNoteOnTranslations.en,hasNoteOnTranslations,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on translations,isbd:unc/elements/P1045,,"Relates a resource that contains a work that is a translation to a note on the original title of the work, or, where appropriate, the key title and ISSN.",Notes on translations may be included in the notes on contents when the resource contains several individual works. Excludes notes on the language of the title. Excludes notes on editions of a resource appearing simultaneously in different languages.
isbd:unc/elements/P1097,,isbd:unc/elements/hasNoteOnDifferentEditions.en,hasNoteOnDifferentEditions,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on different editions,isbd:unc/elements/P1045,,Relates a resource to a note on the name of another edition or editions.,"Used when the resource is one of two or more simultaneously published editions differing in partial content or language. A general note is used if the name of the other edition or editions is not readily available, or the resource is published in more editions than can be named conveniently."
isbd:unc/elements/P1098,,isbd:unc/elements/hasNoteOnReproduction.en,hasNoteOnReproduction,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on reproduction,isbd:unc/elements/P1045,,Relates a resource that is is an exact reproduction of another resource to a note on the title of the original resource (when different from the title of the reproduction) and its publication details.,"Includes facsimile reproductions or other photographic (or micro-) reproductions of a printed title, sound cassette copies of a sound disc, videotape reproductions of a motion picture, digitisations. Includes the frequency of the original resource."
isbd:unc/elements/P1099,,isbd:unc/elements/hasNoteOnRelationshipToOtherResources.en,hasNoteOnRelationshipToOtherResources,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on relationship to other resources,isbd:unc/elements/P1045,,Relates a resource to a note on relationship to other resources.,
isbd:unc/elements/P1100,,isbd:unc/elements/hasNoteOnSupplementsInsertsEtc.en,hasNoteOnSupplementsInsertsEtc,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has note on supplements, inserts, etc.",isbd:unc/elements/P1045,,"Relates a resource that has one or more supplements and/or inserts to a note on the title, the key title and ISSN of the supplement and/or insert.",A general note about the existence of supplements is used when they are numerous.
isbd:unc/elements/P1101,,isbd:unc/elements/hasNoteOnRelationshipBetweenContinuingResources.en,hasNoteOnRelationshipBetweenContinuingResources,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on relationship between continuing resources,isbd:unc/elements/P1045,,Relates a resource that is a continuing resource to a note on a continuing resource that it is related to.,
isbd:unc/elements/P1123,,isbd:unc/elements/hasNoteOnSupplementToOrInsertIn.en,hasNoteOnSupplementToOrInsertIn,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on supplement to or insert in,isbd:unc/elements/P1045,,"Relates a resource that is a supplement to or insert in another resource to a note of the title, the key title and ISSN of the main resource.",
isbd:unc/elements/P1136,,isbd:unc/elements/hasNoteOnContentFormAndMediaType.en,hasNoteOnContentFormAndMediaType,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on content form and media type,isbd:unc/elements/P1045,,Relates a resource to a note on the content form and media type area.,
isbd:unc/elements/P1047,,isbd:unc/elements/hasStatementOfScale.en,hasStatementOfScale,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of scale,,,"Relates a resource that is cartographic to the ratio of distances on the resource to the actual distances they represent, given as a representative fraction, expressed as a ratio (1: ).",
isbd:unc/elements/P1048,,isbd:unc/elements/hasStatementOfProjection.en,hasStatementOfProjection,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of projection,,,Relates a resource that is cartographic to the name and properties of a systematic drawing of lines on a plane surface to represent the parallels of latitude and the meridians of longitude of the Earth or a section of the Earth or other celestial sphere.,
isbd:unc/elements/P1049,,isbd:unc/elements/hasStatementOfCoordinatesAndEquinox.en,hasStatementOfCoordinatesAndEquinox,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of coordinates and equinox,,,Relates a resource that is cartographic to a statement including the coordinates and equinox.,
isbd:unc/elements/P1050,isbd:unc/elements/P1051,isbd:unc/elements/hasCoordinates.en,hasCoordinates,RegStatus:1001,rdf:Property,isbd:unc/elements/,has coordinates,,,Relates a resource that is cartographic to its coordinates (the quantities of latitude and longitude that define the position of points on the surface of the Earth or other celestial sphere that delimit the greatest extent of the area covered).,
isbd:unc/elements/P1051,,isbd:unc/elements/hasRightAscensionAndDeclination.en,hasRightAscensionAndDeclination,RegStatus:1001,rdf:Property,isbd:unc/elements/,has right ascension and declination,isbd:unc/elements/P1050,,"Relates a resource that is cartographic to its right ascension (the angular distance measured eastward on the Equator from the vernal equinox to the hour circle through the celestial body, from 0 to 24 hours), and declination (the angular distance to a body on the celestial sphere measured north or south through 90 degrees from the celestial equator along the hour circle of the body; comparable to latitude on the terrestrial sphere).",Applies also to celestial charts.
isbd:unc/elements/P1155,,isbd:unc/elements/hasLongitudeAndLatitude.en,hasLongitudeAndLatitude,RegStatus:1001,rdf:Property,isbd:unc/elements/,has longitude and latitude,isbd:unc/elements/P1050,,"Relates a resource that is a  terrestrial map to its coordinates expressed in decimal degrees or degrees (°), minutes (′) and seconds (″) of the sexagesimal system (360° circle) (with longitude always taken from the Greenwich prime meridian) in the order of longitude of westernmost extent, longitude of easternmost extent, latitude of northernmost extent , and latitude of southernmost extent, preceded by the appropriate initials for West (W), East (E), North (N) and South (S) or their equivalents in another language or script. Relates a resource that is a map of another celestial body to its coordinates in its coordinate system.",
isbd:unc/elements/P1052,,isbd:unc/elements/hasEquinox.en,hasEquinox,RegStatus:1001,rdf:Property,isbd:unc/elements/,has equinox,,,"Relates a resource that is cartographic to its equinox (one of two points of intersection of the ecliptic and the celestial equator, occupied by the sun when its declination is 0 degrees).",
isbd:unc/elements/P1053,,isbd:unc/elements/hasExtent.en,hasExtent,RegStatus:1001,rdf:Property,isbd:unc/elements/,has extent,,,Relates a resource to the names and numbers of the physical unit or units constituting the resource.,
isbd:unc/elements/P1054,,isbd:unc/elements/hasPagination.en,hasPagination,RegStatus:1001,rdf:Property,isbd:unc/elements/,has pagination,,,Relates a resource that is a printed text to the sequential numbering of the pages.,"Includes the numbering of leaves, columns, etc."
isbd:unc/elements/P1055,,isbd:unc/elements/hasPlayingTime.en,hasPlayingTime,RegStatus:1001,rdf:Property,isbd:unc/elements/,has playing time,,,Relates a resource that has an inherent durational aspect to the time it takes to play the whole resource.,
isbd:unc/elements/P1056,,isbd:unc/elements/hasCompositionOfMaterial.en,hasCompositionOfMaterial,RegStatus:1001,rdf:Property,isbd:unc/elements/,has composition of material,,,Relates a resource to a word or phrase indicating the material of which it is composed.,
isbd:unc/elements/P1057,,isbd:unc/elements/hasPresenceOfIllustrations.en,hasPresenceOfIllustrations,RegStatus:1001,rdf:Property,isbd:unc/elements/,has presence of illustrations,,,"Relates a resource that is illustrated to the abbreviation ""ill."" (or its equivalent in another language), followed or replaced by a specification of particular types of illustration.",
isbd:unc/elements/P1058,,isbd:unc/elements/hasParallelStatementOfResponsibilityRelatingToAnAdditionalEditionStatement.en,hasParallelStatementOfResponsibilityRelatingToAnAdditionalEditionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel statement of responsibility relating to an additional edition statement,,,"Relates a resource to one or more names, phrases, or groups of characters relating to the identification and/or function of any persons or corporate bodies responsible for or contributing to the creation or realisation of the intellectual or artistic content of an additional edition statement of a work contained in the resource, presented on the preferred source of information for the resource as an equivalent in another language or script.",
isbd:unc/elements/P1059,,isbd:unc/elements/hasStatementOfResponsibilityRelatingToAnAdditionalEditionStatement.en,hasStatementOfResponsibilityRelatingToAnAdditionalEditionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of responsibility relating to an additional edition statement,,,"Relates a resource to one or more names, phrases, or groups of characters relating to the identification and/or function of any persons or corporate bodies responsible for or contributing to the creation or realisation of the intellectual or artistic content of an additional edition statement of a work contained in the resource.",
isbd:unc/elements/P1060,,isbd:unc/elements/hasPresenceOfColour.en,hasPresenceOfColour,RegStatus:1001,rdf:Property,isbd:unc/elements/,has presence of colour,,,"Relates a resource that has coloured illustrations, or is visual, to a statement indicating the presence of coloured illustrations or colour characteristics, using the abbreviations ""col."" or ""b&w"" (or their equivalents in another language).",
isbd:unc/elements/P1061,,isbd:unc/elements/hasReductionRatio.en,hasReductionRatio,RegStatus:1001,rdf:Property,isbd:unc/elements/,has reduction ratio,,,Relates a resource that is a microform to an indication of the reduction ratio.,"Where possible the ratio is expressed numerically. The terms ""low reduction"" (up to 15x), ""high reduction"" (31x–60x), ""very high reduction"" (61x–90x) and ""ultra-high reduction"" (91x and upwards) or their equivalents in another language and/or script are
used in cases where the reduction ratio cannot be specified exactly."
isbd:unc/elements/P1062,,isbd:unc/elements/hasPresenceOrAbsenceOfSound.en,hasPresenceOrAbsenceOfSound,RegStatus:1001,rdf:Property,isbd:unc/elements/,has presence or absence of sound,,,"Relates a resource that includes sound as an integral feature to the abbreviations ""sd."" (for sound) or ""si."" (for silent) (or their equivalents in another language).",Omitted if the presence of sound is implicit in the specific material designation.
isbd:unc/elements/P1063,,isbd:unc/elements/hasFrameAlignment.en,hasFrameAlignment,RegStatus:1001,rdf:Property,isbd:unc/elements/,has frame alignment,,,"Relates a resource that is a microfilm reel, microfilm slip, or filmstrip to a statement of its frame alignment.",
isbd:unc/elements/P1077,,isbd:unc/elements/hasQualificationToIdentifier.en,hasQualificationToIdentifier,RegStatus:1001,rdf:Property,isbd:unc/elements/,has qualification to identifier,,,"Relates a resource to a brief statement that qualifies, explains, or corrects the identifier.",
isbd:unc/elements/P1093,,isbd:unc/elements/hasTermsOfAvailabilityStatement.en,hasTermsOfAvailabilityStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has terms of availability statement,,,Relates a resource to a statement of terms of availability.,
isbd:unc/elements/P1107,,isbd:unc/elements/hasNoteArea.en,hasNoteArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note area,,,Relates a resource to a statement including notes on any descriptive information that has not been given in other areas of the description.,Used when considered to be important to users of bibliographic records.
isbd:unc/elements/P1116,,isbd:unc/elements/hasParallelNumberingSystem.en,hasParallelNumberingSystem,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel numbering system,,,Relates a resource that is a serial to the designation appearing in the language and script of the title proper when there are designations in more than one language or script on the issue or part.,"If the criterion in the definition does not apply, the first designation is used. The parallel designations may also be given."
isbd:unc/elements/P1119,,isbd:unc/elements/hasParallelMusicFormatStatement.en,hasParallelMusicFormatStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel music format statement,,,Relates a resource that is notated music to an equivalent of a music format statement (a term or phrase representing the physical form in which it is presented) in another language or script and presented as equivalent.,
isbd:unc/elements/P1120,,isbd:unc/elements/hasSubsequentNumberingSystem.en,hasSubsequentNumberingSystem,RegStatus:1001,rdf:Property,isbd:unc/elements/,has subsequent numbering system,,,Relates a resource that is a serial to a new sequence of numbering (the identification of each of the successive issues or parts).,"Normally, the serial carries a designation, such as ""new series"", ""second series"", etc., to indicate that a new sequence of numbering, not a new serial, is intended. The designation of the new sequence, if any, is included. The numbering system can include a numeral, a letter, any other character, or the combination of these, with or without an accompanying word (""volume"", ""number"", etc.), and, or, a chronological designation."
isbd:unc/elements/P1121,,isbd:unc/elements/hasParallelNameOfPublisherProducerDistributor.en,hasParallelNameOfPublisherProducerDistributor,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has parallel name of publisher, producer, distributor",,,"Relates a resource to the form of name of the publisher, producer and/or distributor in the language and script of the title proper when the name appears on the prescribed source of information for the resource in more than one language or script.","If the criterion in the definition does not apply, the form of name made prominent by typography or, if there is no typographical distinction, the form of name that appears first is used."
isbd:unc/elements/P1122,,isbd:unc/elements/hasBibliographicFormatOfOlderMonographicResource.en,hasBibliographicFormatOfOlderMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has bibliographic format of older monographic resource,,,Relates a resource that is an older monographic resource to a standard designation as chosen by the cataloguing agency.,"e.g. 1 °, 2 °, 4 °, 8 °, 12 °, etc. Includes the height of the outer case, measured parallel to the spine, or of the resource when it is not bound, if it can be established that the resource is in a standardized publisher's binding or in publisher's wrappers. Includes the assumed format followed by a question mark when the format cannot be determined. Excludes dimensions if it cannot be established that the resource is in a standardized publisher's binding or in publisher's wrappers."
isbd:unc/elements/P1124,,isbd:unc/elements/hasNoteOnOtherRelationships.en,hasNoteOnOtherRelationships,RegStatus:1001,rdf:Property,isbd:unc/elements/,has note on other relationships,,,"Relates a resource to a note on other relationships between it and other resources, including the nature of the relationship, the title, the key title and ISSN of the other resource or resources.",Includes resources published together and described separately.
isbd:unc/elements/P1125,,isbd:unc/elements/hasResourceIdentifierStatement.en,hasResourceIdentifierStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has resource identifier statement,,,Relates a resource to a statement of its identifier.,
isbd:unc/elements/P1126,,isbd:unc/elements/hasProcessOrMethodOfReproductionOfStillImage.en,hasProcessOrMethodOfReproductionOfStillImage,RegStatus:1001,rdf:Property,isbd:unc/elements/,has process or method of reproduction of still image,,,Relates a resource that is a still image to details on the process or method of reproduction.,
isbd:unc/elements/P1127,,isbd:unc/elements/hasPlayingSpeed.en,hasPlayingSpeed,RegStatus:1001,rdf:Property,isbd:unc/elements/,has playing speed,,,Relates a resource to its playing speed.,
isbd:unc/elements/P1128,,isbd:unc/elements/hasRecordingMethod.en,hasRecordingMethod,RegStatus:1001,rdf:Property,isbd:unc/elements/,has recording method,,,Relates a resource that is an analogue sound disc to its recording method.,
isbd:unc/elements/P1129,,isbd:unc/elements/hasGrooveDirection.en,hasGrooveDirection,RegStatus:1001,rdf:Property,isbd:unc/elements/,has groove direction,,,Relates a resource that is an analogue sound disc to its groove direction.,
isbd:unc/elements/P1130,,isbd:unc/elements/hasGrooveSize.en,hasGrooveSize,RegStatus:1001,rdf:Property,isbd:unc/elements/,has groove size,,,Relates a resource that is an analogue sound disc to its groove size.,
isbd:unc/elements/P1131,,isbd:unc/elements/hasNumberOfTapeTracks.en,hasNumberOfTapeTracks,RegStatus:1001,rdf:Property,isbd:unc/elements/,has number of tape tracks,,,Relates a resource to the number of its tape tracks.,
isbd:unc/elements/P1132,,isbd:unc/elements/hasTrackConfiguration.en,hasTrackConfiguration,RegStatus:1001,rdf:Property,isbd:unc/elements/,has track configuration,,,Relates a resource that is a sound reel recorded on four or more tracks to its track configuration.,
isbd:unc/elements/P1133,,isbd:unc/elements/hasNumberOfSoundChannels.en,hasNumberOfSoundChannels,RegStatus:1001,rdf:Property,isbd:unc/elements/,has number of sound channels,,,Relates a resource to the number of its sound channels.,
isbd:unc/elements/P1134,,isbd:unc/elements/hasEqualization.en,hasEqualization,RegStatus:1001,rdf:Property,isbd:unc/elements/,has equalization,,,Relates a resource to the equalization it employs.,
isbd:unc/elements/P1135,,isbd:unc/elements/hasNoiseReduction.en,hasNoiseReduction,RegStatus:1001,rdf:Property,isbd:unc/elements/,has noise reduction,,,Relates a resource to the noise reduction it employs.,
isbd:unc/elements/P1137,,isbd:unc/elements/hasCommonTitleOfTitleProper.en,hasCommonTitleOfTitleProper,RegStatus:1001,rdf:Property,isbd:unc/elements/,has common title of title proper,,,Relates a resource to that part of the title that is carried by a group of related resources in addition to their different section titles.,The common title serves to indicate this relationship in a group of resources and together with the section title identifies a given resource. The common title may also be common to a main resource and its supplement or supplements and to a main series and its subseries when the supplement or supplements or subseries have a dependent title or titles.
isbd:unc/elements/P1138,,isbd:unc/elements/hasDependentTitleOfTitleProper.en,hasDependentTitleOfTitleProper,RegStatus:1001,rdf:Property,isbd:unc/elements/,has dependent title of title proper,,,"Relates a resource to a title that by itself is insufficient to identify the resource and that requires the addition of the common title, or the title of the main resource or the title of the main series.","Examples are section titles, some titles of individual sheets of a map series, some supplement titles and some titles of subseries and the titles of some parts of a multipart monographic resource."
isbd:unc/elements/P1139,,isbd:unc/elements/hasDependentTitleDesignationOfTitleProper.en,hasDependentTitleDesignationOfTitleProper,RegStatus:1001,rdf:Property,isbd:unc/elements/,has dependent title designation of title proper,,,Relates a resource to numbering that alone or in conjunction with a dependent title serves to distinguish it from one or more related resources having a common title.,
isbd:unc/elements/P1141,,isbd:unc/elements/hasParallelStatementOfResponsibilityRelatingToTitle.en,hasParallelStatementOfResponsibilityRelatingToTitle,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel statement of responsibility relating to title,,,Relates a resource to a statement of responsibility  presented on the preferred source of information for the resource as an equivalent in another language or script.,
isbd:unc/elements/P1142,,isbd:unc/elements/hasParallelStatementOfResponsibilityRelatingToEdition.en,hasParallelStatementOfResponsibilityRelatingToEdition,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel statement of responsibility relating to edition,,,"Relates a resource to one or more names, phrases, or groups of characters relating to the identification and/or function of any persons or corporate bodies responsible for or contributing to the creation or realisation of the intellectual or artistic content of an edition of a work contained in the resource, presented on the preferred source of information for the resource as an equivalent in another language or script.",
isbd:unc/elements/P1143,,isbd:unc/elements/hasParallelAdditionalEditionStatement.en,hasParallelAdditionalEditionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel additional edition statement,,,"Relates a resource to a word or phrase, or a group of characters, indicating that a resource belongs to an edition presented on the preferred source of information for the resource as an equivalent in another language or script.",
isbd:unc/elements/P1144,,isbd:unc/elements/hasAdditionToPlaceOfPublication.en,hasAdditionToPlaceOfPublication,RegStatus:1001,rdf:Property,isbd:unc/elements/,has addition to place of publication,,,"Relates a resource to the name of a larger place such as a country, state, etc. and, if it is considered necessary for identification, the full address of the publisher, producer or distributor.",
isbd:unc/elements/P1145,,isbd:unc/elements/hasParallelPaceOfPublicationProductionDistribution.en,hasParallelPaceOfPublicationProductionDistribution,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has parallel place of publication, production, distribution",,,"Relates a resource to the name of the place of publication, production and/or distribution in the language and script of the title proper when the name appears on the prescribed source of information for the resource in more than one language or script.","If the criterion in the definition does not apply, the form of name made prominent by typography or, if there is no typographical distinction, the form of name that appears first is used."
isbd:unc/elements/P1146,,isbd:unc/elements/hasSpecificMaterialDesignation.en,hasSpecificMaterialDesignation,RegStatus:1001,rdf:Property,isbd:unc/elements/,has specific material designation,,,"Relates a resource to a term indicating the specific class of material (usually the class of physical object) to which it belongs, and the number of units.",
isbd:unc/elements/P1147,,isbd:unc/elements/hasCommonTitleOfSeriesOrMultipartMonographicResource.en,hasCommonTitleOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has common title of series or multipart monographic resource,,,Relates a resource that is a series or multipart monographic resource to that part of the title that is carried by a group of related resources in addition to their different section titles.,
isbd:unc/elements/P1148,,isbd:unc/elements/hasDependentTitleOfSeriesOrMultipartMonographicResource.en,hasDependentTitleOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has dependent title of series or multipart monographic resource,,,"Relates a resource that is a series or multipart monographic resource to a title that by itself is insufficient to identify the resource and that requires the addition of the common title, or the title of the main resource or the title of the main series.",
isbd:unc/elements/P1149,,isbd:unc/elements/hasDependentTitleDesignationOfSeriesOrMultipartMonogaphicResource.en,hasDependentTitleDesignationOfSeriesOrMultipartMonogaphicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has dependent title designation of series or multipart monographic resource,,,Relates a resource that is a series or multipart monographic resource to numbering that alone or in conjunction with a dependent title serves to distinguish one of two or more related resources having a common title.,
isbd:unc/elements/P1150,,isbd:unc/elements/hasQualificationToTermsOfAvailability.en,hasQualificationToTermsOfAvailability,RegStatus:1001,rdf:Property,isbd:unc/elements/,has qualification to terms of availability,,,Relates a resource to a qualification to a statement of the price if it is for sale or a brief statement of other terms if it is not for sale.,
isbd:unc/elements/P1151,,isbd:unc/elements/hasAdditionToParallelPlaceOfPublication.en,hasAdditionToParallelPlaceOfPublication,RegStatus:1001,rdf:Property,isbd:unc/elements/,has addition to parallel place of publication,,,"Relates a resource to the name of a larger place such as a country, state, etc. and, if it is considered necessary for identification, the full address of the publisher, producer or distributor, in the language and script of the title proper when the name appears on the prescribed source of information for the resource in more than one language or script.",
isbd:unc/elements/P1152,,isbd:unc/elements/hasParallelOtherTitleInformationOfSeriesOrMultipartMonographicResource.en,hasParallelOtherTitleInformationOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel other title information of series or multipart monographic resource,,,"Relates a resource that is a serial or multipart monographic resource to a word or phrase, or a group of characters, appearing in conjunction with, and subordinate to, the title proper of the resource presented on the preferred source of information for the resource as an equivalent in another language or script.",Parallel other title information  is given when considered important to users of the catalogue.
isbd:unc/elements/P1153,,isbd:unc/elements/hasParallelStatementOfResponsibilityOfSeriesOrMultipartMonographicResource.en,hasParallelStatementOfResponsibilityOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel statement of responsibility of series or multipart monographic resource,,,"Relates a resource that is a series or multipart monographic resource to one or more names, phrases, or groups of characters relating to the identification and/or function of any persons or corporate bodies responsible for or contributing to the creation or realisation of the intellectual or artistic content of a work contained in the resource, presented on the preferred source of information for the resource as an equivalent in another language or script.",
isbd:unc/elements/P1156,,isbd:unc/elements/hasNumericDesignation.en,hasNumericDesignation,RegStatus:1001,rdf:Property,isbd:unc/elements/,has numeric designation,,,Relates a resource that is a serial to its numeric designation.,"A numeric designation is given as it appears, except that arabic numerals are given in place of other numerals or spelled-out numbers and multiple levels of numbering are given in a hierarchical order. A numeric designation may include alphabetic or other characters as well as numbers. Words in the designation may be abbreviated."
isbd:unc/elements/P1157,,isbd:unc/elements/hasChronologicalDesignation.en,hasChronologicalDesignation,RegStatus:1001,rdf:Property,isbd:unc/elements/,has chronological designation,,,Relates a resource that is a serial to its chronological designation.,Words in the designation may be abbreviated.
isbd:unc/elements/P1158,,isbd:unc/elements/hasContentFormAndMediaTypeArea.en,hasContentFormAndMediaTypeArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has content form and media type area,,,"Relates a resource to one or more statements each comprising three elements, each taken from closed lists: the content form, one or more terms reflecting the fundamental form or forms in which the content of a resource is expressed; the content qualification, specifying the type, sensory nature, dimensionality, and/or presence or absence of motion for the resource being described; and  the media type, indicating the type or types of carrier used to convey the content of the resource.",
isbd:unc/elements/P1159,,isbd:unc/elements/hasTitleAndStatementOfResponsibilityArea.en,hasTitleAndStatementOfResponsibilityArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has title and statement of responsibility area,,,"Relates a resource to a statement including the title proper, parallel titles, other title information, and statements of responsibility.",
isbd:unc/elements/P1160,,isbd:unc/elements/hasEditionArea.en,hasEditionArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has edition area,,,"Relates a resource to a statement including the edition statement, parallel edition statements, statements of responsibility relating to the edition, additional edition statements, and statements of responsibility following an additional edition statement.",
isbd:unc/elements/P1161,,isbd:unc/elements/hasMaterialOrTypeOfResourceSpecificArea.en,hasMaterialOrTypeOfResourceSpecificArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has material or type of resource specific area,,,Relates a resource to a statement including data that are unique to a particular class of material or type of resource.,
isbd:unc/elements/P1162,,isbd:unc/elements/hasPublicationProductionDistributionEtcArea.en,hasPublicationProductionDistributionEtcArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has publication, production, distribution, etc area",,,"Relates a resource to a statement including the place of publication, production and/or distribution; the name of publisher, producer, and/or distributor; the date of publication, production, and/or distribution; the place of printing or manufacture; the name of printer or manufacturer; and the date of printing or manufacture.","Covers all types of publication, production, distribution, issuing and release activities connected with resources."
isbd:unc/elements/P1163,,isbd:unc/elements/hasMaterialDescriptionArea.en,hasMaterialDescriptionArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has material description area,,,"Relates a resource to a statement including the specific material designation and extent, other physical details, the dimensions, and the accompanying material statement.",Restricted to the resource as issued by the publisher.
isbd:unc/elements/P1164,,isbd:unc/elements/hasSeriesAndMultipartMonographicResourceArea.en,hasSeriesAndMultipartMonographicResourceArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has series and multipart monographic resource area,,,"Relates a resource to a statement including the title proper of a series or multipart monographic resource, the parallel title of a series or multipart monographic resource, the other title information of a series or multipart monographic resource, the parallel other title information of a series or multipart monographic resource, the statement of responsibility relating to a series or multipart monographic resource, the parallel statement of responsibility relating to a series or multipart monographic resource, the international standard number of a series or multipart monographic resource, and the numbering within a series or multipart monographic resource.",
isbd:unc/elements/P1165,,isbd:unc/elements/hasResourceIdentifierAndTermsOfAvailabilityArea.en,hasResourceIdentifierAndTermsOfAvailabilityArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has resource identifier and terms of availability area,,,"Relates a resource to a statement including the resource identifier, the key title, and the terms of availability.",
isbd:unc/elements/P1166,,isbd:unc/elements/hasMusicFormatStatementArea.en,hasMusicFormatStatementArea,RegStatus:1001,rdf:Property,isbd:unc/elements/,has music format statement area,,,Relates a resource that is notated music to a statement including the music format statement and parallel music format statements.,
isbd:unc/elements/P1167,,isbd:unc/elements/hasStatementOfPrintingOrManufacture.en,hasStatementOfPrintingOrManufacture,RegStatus:1001,rdf:Property,isbd:unc/elements/,has statement of printing or manufacture,,,"Relates a resource to a statement including the place of printing or manufacture, the name of printer or manufacturer, and the date of printing or manufacture.",
isbd:unc/elements/P1168,,isbd:unc/elements/hasPlaceOfPublicationProductionDistributionStatement.en,hasPlaceOfPublicationProductionDistributionStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has place of publication, production, distribution statement",,,"Relates a resource to a statement including the place of publication, production, distribution, the additional place of publication statement, and the parallel statement of place of publication.",
isbd:unc/elements/P1169,,isbd:unc/elements/hasNameOfPublisherProducerDistributorStatement.en,hasNameOfPublisherProducerDistributorStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,"has name of publisher, producer, distributor statement",,,"Relates a resource to a statement including the name of publisher, producer, distributor, and the parallel statement of publisher, producer, distributor.",
isbd:unc/elements/P1170,,isbd:unc/elements/hasTitleStatement.en,hasTitleStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has title statement,,,Relates a resource to a statement of its title.,
isbd:unc/elements/P1171,,isbd:unc/elements/hasCompoundTitleOfTitlePrope.en,hasCompoundTitleOfTitlePrope,RegStatus:1001,rdf:Property,isbd:unc/elements/,has compound title of title proper,,,"Relates a resource to the title proper consisting of a common title and a dependent title, with or without a dependent title designation.",
isbd:unc/elements/P1172,,isbd:unc/elements/hasParallelTitleStatement.en,hasParallelTitleStatement,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel title statement,,,Relates a resource to a statement of its parallel title.,
isbd:unc/elements/P1173,,isbd:unc/elements/hasTitleStatementOfSeriesOrMultipartMonographicResource.en,hasTitleStatementOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has title statement of series or multipart monographic resource,,,Relates a resource that is a series or multipart monographic resource to a statement of its title.,
isbd:unc/elements/P1174,,isbd:unc/elements/hasParallelTitleStatementOfSeriesOrMultipartMonographicResource.en,hasParallelTitleStatementOfSeriesOrMultipartMonographicResource,RegStatus:1001,rdf:Property,isbd:unc/elements/,has parallel title statement of series or multipart monographic resource,,,Relates a resource that is a series or multipart monographic resource to a statement of its parallel title.,
